"StationID","Duration","SensorNumber","SensorType","Date","ObsDate","Value","DataFlag","SensorUnits"
"CAL","M",2,"RAIN",1997-12-01,1998-01-02,2.7,"","INCHES"
"CAL","M",2,"RAIN",1998-01-01,1998-02-02,7.22,"","INCHES"
"CAL","M",2,"RAIN",1998-02-01,1998-03-02,6.72,"","INCHES"
"CAL","M",2,"RAIN",1998-03-01,1998-04-01,3.61,"","INCHES"
"CAL","M",2,"RAIN",1998-04-01,1998-05-01,0.56,"","INCHES"
"CAL","M",2,"RAIN",1998-05-01,1998-06-01,4.99,"","INCHES"
"CAL","M",2,"RAIN",1998-06-01,1998-07-01,2.34,"","INCHES"
"CAL","M",2,"RAIN",1998-07-01,1998-08-11,0.74,"","INCHES"
"CAL","M",2,"RAIN",1998-08-01,1998-09-01,0.09,"","INCHES"
"CAL","M",2,"RAIN",1998-09-01,1998-10-01,1.01,"","INCHES"
"CAL","M",2,"RAIN",1998-10-01,1998-11-02,1.31,"","INCHES"
"CAL","M",2,"RAIN",1998-11-01,1998-12-01,6.91,"","INCHES"
"CAL","M",2,"RAIN",1998-12-01,1999-01-04,1.3,"","INCHES"
"CAL","M",2,"RAIN",1999-01-01,1999-02-01,3.56,"","INCHES"
"CAL","M",2,"RAIN",1999-02-01,1999-03-01,4.71,"","INCHES"
"CAL","M",2,"RAIN",1999-03-01,1999-03-01,1.09,"","INCHES"
"CAL","M",2,"RAIN",1999-04-01,1999-04-01,0.34,"","INCHES"
"CAL","M",2,"RAIN",1999-05-01,1999-05-01,0.05,"","INCHES"
"CAL","M",2,"RAIN",1999-06-01,1999-06-01,0.05,"","INCHES"
"CAL","M",2,"RAIN",1999-07-01,1999-07-01,0.04,"","INCHES"
"CAL","M",2,"RAIN",1999-08-01,1999-08-01,0.22,"","INCHES"
"CAL","M",2,"RAIN",1999-09-01,1999-09-01,0.03,"","INCHES"
"CAL","M",2,"RAIN",1999-10-01,1999-10-01,1.29,"","INCHES"
"CAL","M",2,"RAIN",1999-11-01,1999-11-01,4.06,"","INCHES"
"CAL","M",2,"RAIN",1999-12-01,1999-12-01,0.89,"","INCHES"
"CAL","M",2,"RAIN",2000-01-01,2000-01-01,5.53,"","INCHES"
"CAL","M",2,"RAIN",2000-02-01,2000-02-01,4.25,"","INCHES"
"CAL","M",2,"RAIN",2000-03-01,2000-03-01,1.73,"","INCHES"
"CAL","M",2,"RAIN",2000-04-01,2000-04-01,2.73,"","INCHES"
"CAL","M",2,"RAIN",2000-05-01,2000-05-01,0.75,"","INCHES"
"CAL","M",2,"RAIN",2000-06-01,2000-06-01,0.46,"","INCHES"
"CAL","M",2,"RAIN",2000-07-01,2000-07-01,1.16,"","INCHES"
"CAL","M",2,"RAIN",2000-08-01,2000-08-01,0.04,"","INCHES"
"CAL","M",2,"RAIN",2000-09-01,2000-09-01,0.12,"","INCHES"
"CAL","M",2,"RAIN",2000-10-01,2000-10-01,2.08,"","INCHES"
"CAL","M",2,"RAIN",2000-11-01,2000-11-01,0.56,"","INCHES"
"CAL","M",2,"RAIN",2000-12-01,2000-12-01,0.98,"","INCHES"
"CAL","M",2,"RAIN",2001-01-01,2001-01-01,1.72,"","INCHES"
"CAL","M",2,"RAIN",2001-02-01,2001-02-01,1.7,"","INCHES"
"CAL","M",2,"RAIN",2001-03-01,2001-03-01,2.73,"","INCHES"
"CAL","M",2,"RAIN",2001-04-01,2001-04-01,1.26,"","INCHES"
"CAL","M",2,"RAIN",2001-05-01,2001-05-01,0.66,"","INCHES"
"CAL","M",2,"RAIN",2001-06-01,2001-06-01,0.09,"","INCHES"
"CAL","M",2,"RAIN",2001-07-01,2001-07-01,0.42,"","INCHES"
"CAL","M",2,"RAIN",2001-08-01,2001-08-01,0.01,"","INCHES"
"CAL","M",2,"RAIN",2001-09-01,2001-09-01,0.76,"","INCHES"
"CAL","M",2,"RAIN",2001-10-01,2001-10-01,0.19,"","INCHES"
"CAL","M",2,"RAIN",2001-11-01,2001-11-01,5.2,"","INCHES"
"CAL","M",2,"RAIN",2001-12-01,2001-12-01,4.28,"","INCHES"
"CAL","M",2,"RAIN",2002-01-01,2002-01-01,1.94,"","INCHES"
"CAL","M",2,"RAIN",2002-02-01,2002-02-01,2.34,"","INCHES"
"CAL","M",2,"RAIN",2002-03-01,2002-03-01,0.66,"","INCHES"
"CAL","M",2,"RAIN",2002-04-01,2002-04-01,1.22,"","INCHES"
"CAL","M",2,"RAIN",2002-05-01,2002-05-01,0.37,"","INCHES"
"CAL","M",2,"RAIN",2002-06-01,2002-06-01,0.11,"","INCHES"
"CAL","M",2,"RAIN",2002-07-01,2002-07-01,0.16,"","INCHES"
"CAL","M",2,"RAIN",2002-08-01,2002-08-01,0.01,"","INCHES"
"CAL","M",2,"RAIN",2002-09-01,2002-09-01,0.16,"","INCHES"
"CAL","M",2,"RAIN",2002-10-01,2002-10-01,0.03,"","INCHES"
"CAL","M",2,"RAIN",2002-11-01,2002-11-01,3.39,"","INCHES"
"CAL","M",2,"RAIN",2002-12-01,2002-12-01,12.65,"","INCHES"
"CAL","M",2,"RAIN",2003-01-01,2003-01-01,2.45,"","INCHES"
"CAL","M",2,"RAIN",2003-02-01,2003-02-01,0.76,"","INCHES"
"CAL","M",2,"RAIN",2003-03-01,2003-03-01,3.51,"","INCHES"
"CAL","M",2,"RAIN",2003-04-01,2003-04-01,4.23,"","INCHES"
"CAL","M",2,"RAIN",2003-05-01,2003-05-01,0.63,"","INCHES"
"CAL","M",2,"RAIN",2003-06-01,2003-06-01,0.05,"","INCHES"
"CAL","M",2,"RAIN",2003-07-01,2003-07-01,1.63,"","INCHES"
"CAL","M",2,"RAIN",2003-08-01,2003-08-01,2.93,"","INCHES"
"CAL","M",2,"RAIN",2003-09-01,2003-09-01,0.31,"","INCHES"
"CAL","M",2,"RAIN",2003-10-01,2003-10-01,0,"","INCHES"
"CAL","M",2,"RAIN",2003-11-01,2003-11-01,2.65,"","INCHES"
"CAL","M",2,"RAIN",2003-12-01,2003-12-01,3.93,"","INCHES"
"CAL","M",2,"RAIN",2004-01-01,2004-01-01,1.78,"","INCHES"
"CAL","M",2,"RAIN",2004-02-01,2004-02-01,5.06,"","INCHES"
"CAL","M",2,"RAIN",2004-03-01,2004-03-01,1.41,"","INCHES"
"CAL","M",2,"RAIN",2004-04-01,2004-04-01,0.91,"","INCHES"
"CAL","M",2,"RAIN",2004-05-01,2004-05-01,1.16,"","INCHES"
"CAL","M",2,"RAIN",2004-06-01,2004-06-01,0.31,"","INCHES"
"CAL","M",2,"RAIN",2004-07-01,2004-07-01,0.19,"","INCHES"
"CAL","M",2,"RAIN",2004-08-01,2004-08-01,0.11,"","INCHES"
"CAL","M",2,"RAIN",2004-09-01,2004-09-01,0.03,"","INCHES"
"CAL","M",2,"RAIN",2004-10-01,2004-10-01,3.16,"","INCHES"
"CAL","M",2,"RAIN",2004-11-01,2004-11-01,1.21,"","INCHES"
"CAL","M",2,"RAIN",2004-12-01,2004-12-01,5.23,"","INCHES"
"CAL","M",2,"RAIN",2005-01-01,2005-01-01,2.26,"","INCHES"
"CAL","M",2,"RAIN",2005-02-01,2005-02-01,1.2,"","INCHES"
"CAL","M",2,"RAIN",2005-03-01,2005-03-01,1,"","INCHES"
"CAL","M",2,"RAIN",2005-04-01,2005-04-01,1.28,"","INCHES"
"CAL","M",2,"RAIN",2005-05-01,2005-05-01,3.26,"","INCHES"
"CAL","M",2,"RAIN",2005-06-01,2005-06-01,0.52,"","INCHES"
"CAL","M",2,"RAIN",2005-07-01,2005-07-01,0.7,"","INCHES"
"CAL","M",2,"RAIN",2005-08-01,2005-08-01,0,"","INCHES"
"CAL","M",2,"RAIN",2005-09-01,2005-09-01,0.02,"","INCHES"
"CAL","M",2,"RAIN",2005-10-01,2005-10-01,0.32,"","INCHES"
"CAL","M",2,"RAIN",2005-11-01,2005-11-01,3.95,"","INCHES"
"CAL","M",2,"RAIN",2005-12-01,2005-12-01,12.84,"","INCHES"
"CAL","M",2,"RAIN",2006-01-01,2006-01-01,5.58,"","INCHES"
"CAL","M",2,"RAIN",2006-02-01,2006-02-01,2.53,"","INCHES"
"CAL","M",2,"RAIN",2006-03-01,2006-03-01,2.88,"","INCHES"
"CAL","M",2,"RAIN",2006-04-01,2006-04-01,1.42,"","INCHES"
"CAL","M",2,"RAIN",2006-05-01,2006-05-01,1.04,"","INCHES"
"CAL","M",2,"RAIN",2006-06-01,2006-06-01,0.31,"","INCHES"
"CAL","M",2,"RAIN",2006-07-01,2006-07-01,0,"","INCHES"
"CAL","M",2,"RAIN",2006-08-01,2006-08-01,0.61,"","INCHES"
"CAL","M",2,"RAIN",2006-09-01,2006-09-01,0,"","INCHES"
"CAL","M",2,"RAIN",2006-10-01,2006-10-01,0.15,"","INCHES"
"CAL","M",2,"RAIN",2006-11-01,2006-11-01,3.21,"","INCHES"
"CAL","M",2,"RAIN",2006-12-01,2006-12-01,4.93,"","INCHES"
"CAL","M",2,"RAIN",2007-01-01,2007-01-01,1.09,"","INCHES"
"CAL","M",2,"RAIN",2007-02-01,2007-02-01,3.8,"","INCHES"
"CAL","M",2,"RAIN",2007-03-01,2007-03-01,0.19,"","INCHES"
"CAL","M",2,"RAIN",2007-04-01,2007-04-01,0.28,"","INCHES"
"CAL","M",2,"RAIN",2007-05-01,2007-05-01,0.63,"","INCHES"
"CAL","M",2,"RAIN",2007-06-01,2007-06-01,0.13,"","INCHES"
"CAL","M",2,"RAIN",2007-07-01,2007-07-01,0.31,"","INCHES"
"CAL","M",2,"RAIN",2007-08-01,2007-08-01,0.08,"","INCHES"
"CAL","M",2,"RAIN",2007-09-01,2007-09-01,0.2,"","INCHES"
"CAL","M",2,"RAIN",2007-10-01,2007-10-01,3.55,"","INCHES"
"CAL","M",2,"RAIN",2007-11-01,2007-11-01,0.83,"","INCHES"
"CAL","M",2,"RAIN",2007-12-01,2007-12-01,2.77,"","INCHES"
"CAL","M",2,"RAIN",2008-01-01,2008-01-01,5.95,"","INCHES"
"CAL","M",2,"RAIN",2008-02-01,2008-02-01,1.06,"","INCHES"
"CAL","M",2,"RAIN",2008-03-01,2008-03-01,0.59,"","INCHES"
"CAL","M",2,"RAIN",2008-04-01,2008-04-01,0.09,"","INCHES"
"CAL","M",2,"RAIN",2008-05-01,2008-05-01,1.1,"","INCHES"
"CAL","M",2,"RAIN",2008-06-01,2008-06-01,0.27,"","INCHES"
"CAL","M",2,"RAIN",2008-07-01,2008-07-01,0,"","INCHES"
"CAL","M",2,"RAIN",2008-08-01,2008-08-01,0,"","INCHES"
"CAL","M",2,"RAIN",2008-09-01,2008-09-01,0,"","INCHES"
"CAL","M",2,"RAIN",2008-10-01,2008-10-01,1.21,"","INCHES"
"CAL","M",2,"RAIN",2008-11-01,2008-11-01,1.06,"","INCHES"
"CAL","M",2,"RAIN",2008-12-01,2008-12-01,1.66,"","INCHES"
"CAL","M",2,"RAIN",2009-01-01,2009-01-01,1.06,"","INCHES"
"CAL","M",2,"RAIN",2009-02-01,2009-02-01,2.37,"","INCHES"
"CAL","M",2,"RAIN",2009-03-01,2009-03-01,1.82,"","INCHES"
"CAL","M",2,"RAIN",2009-04-01,2009-04-01,2.15,"","INCHES"
"CAL","M",2,"RAIN",2009-05-01,2009-05-01,1.76,"","INCHES"
"CAL","M",2,"RAIN",2009-06-01,2009-06-01,2.1,"","INCHES"
"CAL","M",2,"RAIN",2009-07-01,2009-07-01,0,"","INCHES"
"CAL","M",2,"RAIN",2009-08-01,2009-08-01,0.22,"","INCHES"
"CAL","M",2,"RAIN",2009-09-01,2009-09-01,0.12,"","INCHES"
"CAL","M",2,"RAIN",2009-10-01,2009-10-01,2.12,"","INCHES"
"CAL","M",2,"RAIN",2009-11-01,2009-11-01,1.43,"","INCHES"
"CAL","M",2,"RAIN",2009-12-01,2009-12-01,1.06,"","INCHES"
"CAL","M",2,"RAIN",2010-01-01,2010-01-01,5.48,"","INCHES"
"CAL","M",2,"RAIN",2010-02-01,2010-02-01,2.21,"","INCHES"
"CAL","M",2,"RAIN",2010-03-01,2010-03-01,1.91,"","INCHES"
"CAL","M",2,"RAIN",2010-04-01,2010-04-01,3.96,"","INCHES"
"CAL","M",2,"RAIN",2010-05-01,2010-05-01,0.68,"","INCHES"
"CAL","M",2,"RAIN",2010-06-01,2010-06-01,0.55,"","INCHES"
"CAL","M",2,"RAIN",2010-07-01,2010-07-01,0.28,"","INCHES"
"CAL","M",2,"RAIN",2010-08-01,2010-08-01,0.05,"","INCHES"
"CAL","M",2,"RAIN",2010-09-01,2010-09-01,0.5,"","INCHES"
"CAL","M",2,"RAIN",2010-10-01,2010-10-01,4.34,"","INCHES"
"CAL","M",2,"RAIN",2010-11-01,2010-11-01,1.66,"","INCHES"
"CAL","M",2,"RAIN",2010-12-01,2010-12-01,5.65,"","INCHES"
"CAL","M",2,"RAIN",2011-01-01,2011-01-01,0.91,"","INCHES"
"CAL","M",2,"RAIN",2011-02-01,2011-02-01,1.06,"","INCHES"
"CAL","M",2,"RAIN",2011-03-01,2011-03-01,5.42,"","INCHES"
"CAL","M",2,"RAIN",2011-04-01,2011-04-01,0.96,"","INCHES"
"CAL","M",2,"RAIN",2011-05-01,2011-05-01,1.54,"","INCHES"
"CAL","M",2,"RAIN",2011-06-01,2011-06-01,1.42,"","INCHES"
"CAL","M",2,"RAIN",2011-07-01,2011-07-01,0.42,"","INCHES"
"CAL","M",2,"RAIN",2011-08-01,2011-08-01,0.23,"","INCHES"
